idea,nisza,bucket,narzedzie,archetyp,plausible,score
generator planu dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,generator planu,generator,0,0
generator listy dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,generator listy,generator,0,0
losowanie z regułami dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,rotacja/planer cykliczny,rotation,1,12
układacz harmonogramu dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,układacz harmonogramu,rotation,1,12
plan rotacji dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,plan rotacji,rotation,1,12
grafik powtarzalny dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,grafik powtarzalny,rotation,1,12
rozkład tygodniowy dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,rozkład tygodniowy,rotation,1,12
dziennik branżowy dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,dziennik branżowy,logbook,1,11
logbook sesji dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,logbook sesji,logbook,1,11
rejestr inspekcji dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,rejestr inspekcji,logbook,1,11
karta klienta dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,karta klienta,logbook,1,11
historia serwisowa dla: jubilerzy-hobbyści,jubilerzy-hobbyści,hobby,historia serwisowa,logbook,1,11
tabela referencyjna dla: kaligrafowie,kaligrafowie,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: kaligrafowie,kaligrafowie,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: kaligrafowie,kaligrafowie,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: kaligrafowie,kaligrafowie,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: kaligrafowie,kaligrafowie,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: kaligrafowie,kaligrafowie,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: kaligrafowie,kaligrafowie,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: kaligrafowie,kaligrafowie,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: kaligrafowie,kaligrafowie,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: kaligrafowie,kaligrafowie,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: kaligrafowie,kaligrafowie,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: kaligrafowie,kaligrafowie,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: kaligrafowie,kaligrafowie,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: kaligrafowie,kaligrafowie,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: kaligrafowie,kaligrafowie,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: kaligrafowie,kaligrafowie,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: kaligrafowie,kaligrafowie,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: kaligrafowie,kaligrafowie,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: kaligrafowie,kaligrafowie,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: kaligrafowie,kaligrafowie,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: kaligrafowie,kaligrafowie,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: kaligrafowie,kaligrafowie,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: kaligrafowie,kaligrafowie,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: kaligrafowie,kaligrafowie,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: kaligrafowie,kaligrafowie,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: kaligrafowie,kaligrafowie,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: kaligrafowie,kaligrafowie,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: kaligrafowie,kaligrafowie,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: kaligrafowie,kaligrafowie,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: kaligrafowie,kaligrafowie,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: kaligrafowie,kaligrafowie,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: kaligrafowie,kaligrafowie,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: kaligrafowie,kaligrafowie,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: kaligrafowie,kaligrafowie,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: kaligrafowie,kaligrafowie,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: kaligrafowie,kaligrafowie,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: kaligrafowie,kaligrafowie,hobby,log zdarzeń,log,1,10
rejestr czynności dla: kaligrafowie,kaligrafowie,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: kaligrafowie,kaligrafowie,hobby,notatnik tematyczny,log,1,10
kronika dla: kaligrafowie,kaligrafowie,hobby,kronika,log,1,10
katalog kolekcji dla: kaligrafowie,kaligrafowie,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: kaligrafowie,kaligrafowie,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: kaligrafowie,kaligrafowie,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: kaligrafowie,kaligrafowie,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: kaligrafowie,kaligrafowie,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: kaligrafowie,kaligrafowie,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: kaligrafowie,kaligrafowie,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: kaligrafowie,kaligrafowie,hobby,protokół odbioru,checklist,0,0
lista BHP dla: kaligrafowie,kaligrafowie,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: kaligrafowie,kaligrafowie,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: kaligrafowie,kaligrafowie,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: kaligrafowie,kaligrafowie,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: kaligrafowie,kaligrafowie,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: kaligrafowie,kaligrafowie,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: kaligrafowie,kaligrafowie,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: kaligrafowie,kaligrafowie,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: kaligrafowie,kaligrafowie,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: kaligrafowie,kaligrafowie,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: kaligrafowie,kaligrafowie,hobby,monitor dat odnowień,expiry,0,0
kalendarz obowiązków dla: kaligrafowie,kaligrafowie,hobby,kalendarz obowiązków,expiry,0,0
cennik usług dla: kaligrafowie,kaligrafowie,hobby,cennik usług,pricebook,0,0
książka cen dla: kaligrafowie,kaligrafowie,hobby,książka cen,pricebook,0,0
kalkulator marży dla: kaligrafowie,kaligrafowie,hobby,kalkulator marży,pricebook,0,0
tabela stawek dla: kaligrafowie,kaligrafowie,hobby,tabela stawek,pricebook,0,0
kosztorys materiałowy dla: kaligrafowie,kaligrafowie,hobby,kosztorys materiałowy,pricebook,0,0
fiszki/drill nauki dla: kaligrafowie,kaligrafowie,hobby,fiszki/drill nauki,flashcard,0,0
generator ćwiczeń dla: kaligrafowie,kaligrafowie,hobby,generator ćwiczeń,flashcard,0,0
trening powtórek dla: kaligrafowie,kaligrafowie,hobby,trening powtórek,flashcard,0,0
quiz tematyczny dla: kaligrafowie,kaligrafowie,hobby,quiz tematyczny,flashcard,0,0
karty pamięciowe dla: kaligrafowie,kaligrafowie,hobby,karty pamięciowe,flashcard,0,0
generator dokumentu dla: kaligrafowie,kaligrafowie,hobby,generator dokumentu,generator,0,0
generator etykiet do druku dla: kaligrafowie,kaligrafowie,hobby,generator etykiet do druku,generator,0,0
generator certyfikatów dla: kaligrafowie,kaligrafowie,hobby,generator certyfikatów,generator,0,0
generator planu dla: kaligrafowie,kaligrafowie,hobby,generator planu,generator,0,0
generator listy dla: kaligrafowie,kaligrafowie,hobby,generator listy,generator,0,0
losowanie z regułami dla: kaligrafowie,kaligrafowie,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: kaligrafowie,kaligrafowie,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: kaligrafowie,kaligrafowie,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: kaligrafowie,kaligrafowie,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: kaligrafowie,kaligrafowie,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: kaligrafowie,kaligrafowie,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: kaligrafowie,kaligrafowie,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: kaligrafowie,kaligrafowie,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: kaligrafowie,kaligrafowie,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: kaligrafowie,kaligrafowie,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: kaligrafowie,kaligrafowie,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: kaligrafowie,kaligrafowie,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: kaligrafowie,kaligrafowie,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: kaligrafowie,kaligrafowie,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: kaligrafowie,kaligrafowie,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: kaligrafowie,kaligrafowie,hobby,rotacja/planer cykliczny,rotation,1,12
układacz harmonogramu dla: kaligrafowie,kaligrafowie,hobby,układacz harmonogramu,rotation,1,12
plan rotacji dla: kaligrafowie,kaligrafowie,hobby,plan rotacji,rotation,1,12
grafik powtarzalny dla: kaligrafowie,kaligrafowie,hobby,grafik powtarzalny,rotation,1,12
rozkład tygodniowy dla: kaligrafowie,kaligrafowie,hobby,rozkład tygodniowy,rotation,1,12
dziennik branżowy dla: kaligrafowie,kaligrafowie,hobby,dziennik branżowy,logbook,1,11
logbook sesji dla: kaligrafowie,kaligrafowie,hobby,logbook sesji,logbook,1,11
rejestr inspekcji dla: kaligrafowie,kaligrafowie,hobby,rejestr inspekcji,logbook,1,11
karta klienta dla: kaligrafowie,kaligrafowie,hobby,karta klienta,logbook,1,11
historia serwisowa dla: kaligrafowie,kaligrafowie,hobby,historia serwisowa,logbook,1,11
tabela referencyjna dla: bonsai-ści,bonsai-ści,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: bonsai-ści,bonsai-ści,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: bonsai-ści,bonsai-ści,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: bonsai-ści,bonsai-ści,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: bonsai-ści,bonsai-ści,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: bonsai-ści,bonsai-ści,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: bonsai-ści,bonsai-ści,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: bonsai-ści,bonsai-ści,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: bonsai-ści,bonsai-ści,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: bonsai-ści,bonsai-ści,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: bonsai-ści,bonsai-ści,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: bonsai-ści,bonsai-ści,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: bonsai-ści,bonsai-ści,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: bonsai-ści,bonsai-ści,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: bonsai-ści,bonsai-ści,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: bonsai-ści,bonsai-ści,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: bonsai-ści,bonsai-ści,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: bonsai-ści,bonsai-ści,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: bonsai-ści,bonsai-ści,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: bonsai-ści,bonsai-ści,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: bonsai-ści,bonsai-ści,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: bonsai-ści,bonsai-ści,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: bonsai-ści,bonsai-ści,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: bonsai-ści,bonsai-ści,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: bonsai-ści,bonsai-ści,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: bonsai-ści,bonsai-ści,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: bonsai-ści,bonsai-ści,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: bonsai-ści,bonsai-ści,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: bonsai-ści,bonsai-ści,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: bonsai-ści,bonsai-ści,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: bonsai-ści,bonsai-ści,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: bonsai-ści,bonsai-ści,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: bonsai-ści,bonsai-ści,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: bonsai-ści,bonsai-ści,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: bonsai-ści,bonsai-ści,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: bonsai-ści,bonsai-ści,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: bonsai-ści,bonsai-ści,hobby,log zdarzeń,log,1,10
rejestr czynności dla: bonsai-ści,bonsai-ści,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: bonsai-ści,bonsai-ści,hobby,notatnik tematyczny,log,1,10
kronika dla: bonsai-ści,bonsai-ści,hobby,kronika,log,1,10
katalog kolekcji dla: bonsai-ści,bonsai-ści,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: bonsai-ści,bonsai-ści,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: bonsai-ści,bonsai-ści,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: bonsai-ści,bonsai-ści,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: bonsai-ści,bonsai-ści,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: bonsai-ści,bonsai-ści,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: bonsai-ści,bonsai-ści,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: bonsai-ści,bonsai-ści,hobby,protokół odbioru,checklist,0,0
lista BHP dla: bonsai-ści,bonsai-ści,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: bonsai-ści,bonsai-ści,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: bonsai-ści,bonsai-ści,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: bonsai-ści,bonsai-ści,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: bonsai-ści,bonsai-ści,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: bonsai-ści,bonsai-ści,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: bonsai-ści,bonsai-ści,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: bonsai-ści,bonsai-ści,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: bonsai-ści,bonsai-ści,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: bonsai-ści,bonsai-ści,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: bonsai-ści,bonsai-ści,hobby,monitor dat odnowień,expiry,0,0
kalendarz obowiązków dla: bonsai-ści,bonsai-ści,hobby,kalendarz obowiązków,expiry,0,0
cennik usług dla: bonsai-ści,bonsai-ści,hobby,cennik usług,pricebook,0,0
książka cen dla: bonsai-ści,bonsai-ści,hobby,książka cen,pricebook,0,0
kalkulator marży dla: bonsai-ści,bonsai-ści,hobby,kalkulator marży,pricebook,0,0
tabela stawek dla: bonsai-ści,bonsai-ści,hobby,tabela stawek,pricebook,0,0
kosztorys materiałowy dla: bonsai-ści,bonsai-ści,hobby,kosztorys materiałowy,pricebook,0,0
fiszki/drill nauki dla: bonsai-ści,bonsai-ści,hobby,fiszki/drill nauki,flashcard,0,0
generator ćwiczeń dla: bonsai-ści,bonsai-ści,hobby,generator ćwiczeń,flashcard,0,0
trening powtórek dla: bonsai-ści,bonsai-ści,hobby,trening powtórek,flashcard,0,0
quiz tematyczny dla: bonsai-ści,bonsai-ści,hobby,quiz tematyczny,flashcard,0,0
karty pamięciowe dla: bonsai-ści,bonsai-ści,hobby,karty pamięciowe,flashcard,0,0
generator dokumentu dla: bonsai-ści,bonsai-ści,hobby,generator dokumentu,generator,0,0
generator etykiet do druku dla: bonsai-ści,bonsai-ści,hobby,generator etykiet do druku,generator,0,0
generator certyfikatów dla: bonsai-ści,bonsai-ści,hobby,generator certyfikatów,generator,0,0
generator planu dla: bonsai-ści,bonsai-ści,hobby,generator planu,generator,0,0
generator listy dla: bonsai-ści,bonsai-ści,hobby,generator listy,generator,0,0
losowanie z regułami dla: bonsai-ści,bonsai-ści,hobby,losowanie z regułami,randomizer,1,12
picker decyzji dla: bonsai-ści,bonsai-ści,hobby,picker decyzji,randomizer,1,12
rotacyjny wybór dla: bonsai-ści,bonsai-ści,hobby,rotacyjny wybór,randomizer,1,12
randomizer grupowy dla: bonsai-ści,bonsai-ści,hobby,randomizer grupowy,randomizer,1,12
koło wyboru dla: bonsai-ści,bonsai-ści,hobby,koło wyboru,randomizer,1,12
kalkulator podziału dla: bonsai-ści,bonsai-ści,hobby,kalkulator podziału,splitter,0,0
splitter kosztów/majątku dla: bonsai-ści,bonsai-ści,hobby,splitter kosztów/majątku,splitter,0,0
rozliczenie grupowe dla: bonsai-ści,bonsai-ści,hobby,rozliczenie grupowe,splitter,0,0
podział równościowy dla: bonsai-ści,bonsai-ści,hobby,podział równościowy,splitter,0,0
kalkulator wyrównań dla: bonsai-ści,bonsai-ści,hobby,kalkulator wyrównań,splitter,0,0
kalkulator rozmiaru/ilości dla: bonsai-ści,bonsai-ści,hobby,kalkulator rozmiaru/ilości,sizing,1,13
kalkulator metrażu dla: bonsai-ści,bonsai-ści,hobby,kalkulator metrażu,sizing,1,13
przelicznik zapotrzebowania dla: bonsai-ści,bonsai-ści,hobby,przelicznik zapotrzebowania,sizing,1,13
kalkulator porcji dla: bonsai-ści,bonsai-ści,hobby,kalkulator porcji,sizing,1,13
kalkulator wymiarów dla: bonsai-ści,bonsai-ści,hobby,kalkulator wymiarów,sizing,1,13
rotacja/planer cykliczny dla: bonsai-ści,bonsai-ści,hobby,rotacja/planer cykliczny,rotation,1,12
układacz harmonogramu dla: bonsai-ści,bonsai-ści,hobby,układacz harmonogramu,rotation,1,12
plan rotacji dla: bonsai-ści,bonsai-ści,hobby,plan rotacji,rotation,1,12
grafik powtarzalny dla: bonsai-ści,bonsai-ści,hobby,grafik powtarzalny,rotation,1,12
rozkład tygodniowy dla: bonsai-ści,bonsai-ści,hobby,rozkład tygodniowy,rotation,1,12
dziennik branżowy dla: bonsai-ści,bonsai-ści,hobby,dziennik branżowy,logbook,1,11
logbook sesji dla: bonsai-ści,bonsai-ści,hobby,logbook sesji,logbook,1,11
rejestr inspekcji dla: bonsai-ści,bonsai-ści,hobby,rejestr inspekcji,logbook,1,11
karta klienta dla: bonsai-ści,bonsai-ści,hobby,karta klienta,logbook,1,11
historia serwisowa dla: bonsai-ści,bonsai-ści,hobby,historia serwisowa,logbook,1,11
tabela referencyjna dla: storczykarze,storczykarze,hobby,tabela referencyjna,reference,1,13
ściąga norm/parametrów dla: storczykarze,storczykarze,hobby,ściąga norm/parametrów,reference,1,13
lookup specyfikacji dla: storczykarze,storczykarze,hobby,lookup specyfikacji,reference,1,13
podręczna baza wiedzy dla: storczykarze,storczykarze,hobby,podręczna baza wiedzy,reference,1,13
tabela porównawcza dla: storczykarze,storczykarze,hobby,tabela porównawcza,reference,1,13
kalkulator dawkowania dla: storczykarze,storczykarze,hobby,kalkulator dawkowania,dosage,1,14
kalkulator proporcji mieszanki dla: storczykarze,storczykarze,hobby,kalkulator proporcji mieszanki,dosage,1,14
kalkulator stężeń dla: storczykarze,storczykarze,hobby,kalkulator stężeń,dosage,1,14
przelicznik receptury dla: storczykarze,storczykarze,hobby,przelicznik receptury,dosage,1,14
kalkulator składników dla: storczykarze,storczykarze,hobby,kalkulator składników,dosage,1,14
kalkulator kosztów dla: storczykarze,storczykarze,hobby,kalkulator kosztów,calculator,1,13
kalkulator materiałów dla: storczykarze,storczykarze,hobby,kalkulator materiałów,calculator,1,13
kalkulator opłacalności dla: storczykarze,storczykarze,hobby,kalkulator opłacalności,calculator,1,13
kalkulator zużycia dla: storczykarze,storczykarze,hobby,kalkulator zużycia,calculator,1,13
kalkulator czasu dla: storczykarze,storczykarze,hobby,kalkulator czasu,calculator,1,13
konwerter jednostek dla: storczykarze,storczykarze,hobby,konwerter jednostek,converter,1,12
przelicznik miar dla: storczykarze,storczykarze,hobby,przelicznik miar,converter,1,12
konwerter formatów dla: storczykarze,storczykarze,hobby,konwerter formatów,converter,1,12
przelicznik walut-stały dla: storczykarze,storczykarze,hobby,przelicznik walut-stały,converter,1,12
konwerter rozmiarów dla: storczykarze,storczykarze,hobby,konwerter rozmiarów,converter,1,12
kosztorys/wycena dla: storczykarze,storczykarze,hobby,kosztorys/wycena,estimator,1,12
szacowanie nakładu dla: storczykarze,storczykarze,hobby,szacowanie nakładu,estimator,1,12
kalkulator oferty dla: storczykarze,storczykarze,hobby,kalkulator oferty,estimator,1,12
wycena na papierze dla: storczykarze,storczykarze,hobby,wycena na papierze,estimator,1,12
estymacja czasu robót dla: storczykarze,storczykarze,hobby,estymacja czasu robót,estimator,1,12
tracker postępu dla: storczykarze,storczykarze,hobby,tracker postępu,tracker,1,11
monitor nawyku dla: storczykarze,storczykarze,hobby,monitor nawyku,tracker,1,11
śledzenie wyników dla: storczykarze,storczykarze,hobby,śledzenie wyników,tracker,1,11
tracker pomiarów dla: storczykarze,storczykarze,hobby,tracker pomiarów,tracker,1,11
licznik serii dla: storczykarze,storczykarze,hobby,licznik serii,tracker,1,11
dziennik objawów → PDF dla lekarza dla: storczykarze,storczykarze,hobby,dziennik objawów → PDF dla lekarza,symptomdiary,0,0
dziennik triggerów dla: storczykarze,storczykarze,hobby,dziennik triggerów,symptomdiary,0,0
log epizodów choroby dla: storczykarze,storczykarze,hobby,log epizodów choroby,symptomdiary,0,0
dziennik diety i reakcji dla: storczykarze,storczykarze,hobby,dziennik diety i reakcji,symptomdiary,0,0
raport dla specjalisty dla: storczykarze,storczykarze,hobby,raport dla specjalisty,symptomdiary,0,0
dziennik aktywności dla: storczykarze,storczykarze,hobby,dziennik aktywności,log,1,10
log zdarzeń dla: storczykarze,storczykarze,hobby,log zdarzeń,log,1,10
rejestr czynności dla: storczykarze,storczykarze,hobby,rejestr czynności,log,1,10
notatnik tematyczny dla: storczykarze,storczykarze,hobby,notatnik tematyczny,log,1,10
kronika dla: storczykarze,storczykarze,hobby,kronika,log,1,10
katalog kolekcji dla: storczykarze,storczykarze,hobby,katalog kolekcji,inventory,1,10
ewidencja zasobów dla: storczykarze,storczykarze,hobby,ewidencja zasobów,inventory,1,10
inwentarz wyposażenia dla: storczykarze,storczykarze,hobby,inwentarz wyposażenia,inventory,1,10
baza sprzętu dla: storczykarze,storczykarze,hobby,baza sprzętu,inventory,1,10
spis zbiorów dla: storczykarze,storczykarze,hobby,spis zbiorów,inventory,1,10
lista kontrolna dla: storczykarze,storczykarze,hobby,lista kontrolna,checklist,0,0
checklist inspekcji dla: storczykarze,storczykarze,hobby,checklist inspekcji,checklist,0,0
protokół odbioru dla: storczykarze,storczykarze,hobby,protokół odbioru,checklist,0,0
lista BHP dla: storczykarze,storczykarze,hobby,lista BHP,checklist,0,0
karta kontroli jakości dla: storczykarze,storczykarze,hobby,karta kontroli jakości,checklist,0,0
planer projektu dla: storczykarze,storczykarze,hobby,planer projektu,planner,0,0
plan krok-po-kroku dla: storczykarze,storczykarze,hobby,plan krok-po-kroku,planner,0,0
organizator zadań dla: storczykarze,storczykarze,hobby,organizator zadań,planner,0,0
planer wydarzenia dla: storczykarze,storczykarze,hobby,planer wydarzenia,planner,0,0
harmonogram przygotowań dla: storczykarze,storczykarze,hobby,harmonogram przygotowań,planner,0,0
tracker terminów ważności dla: storczykarze,storczykarze,hobby,tracker terminów ważności,expiry,0,0
alert wygasania uprawnień dla: storczykarze,storczykarze,hobby,alert wygasania uprawnień,expiry,0,0
przypominacz przeglądów dla: storczykarze,storczykarze,hobby,przypominacz przeglądów,expiry,0,0
monitor dat odnowień dla: storczykarze,storczykarze,hobby,monitor dat odnowień,expiry,0,0
